City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Carbonia,IT,69.01,clear sky,39.1672,8.5222,Lu 'Hotel
141,Santo Antonio Do Ica,BR,69.84,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
142,Bubaque,GW,79.11,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
143,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
144,Bom Jesus,BR,71.02,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
146,Gat,IL,69.4,clear sky,31.61,34.7642,OlusHome
147,Jalu,LY,72.14,clear sky,29.0331,21.5482,صاحبة الفخامة
149,Salinas,US,76.48,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
151,San Rafael Del Sur,NI,76.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
152,Saint-Pierre,RE,71.91,clear sky,-21.3393,55.4781,Alize Plage
154,Faya,SA,73.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
160,Kaliganj,BD,88.93,broken clouds,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
163,Puerto Leguizamo,CO,66.63,overcast clouds,-0.1934,-74.7819,la casona de juancho
164,Sao Joao Da Barra,BR,65.95,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
166,Cozumel,MX,78.01,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
167,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
170,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
171,Laguna,US,83.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
172,Platanos,GR,69.08,clear sky,37.6667,21.6167,Hotel Kronio
174,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
176,Turayf,SA,66.45,clear sky,31.6725,38.6637,Turaif
179,Matanzas,CU,78.6,broken clouds,23.0411,-81.5775,Hostal Sueños
187,Olean,US,68.68,clear sky,42.0776,-78.4297,Best Western Plus University Inn
188,Khash,IR,78.49,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
191,Mitsamiouli,KM,76.59,clear sky,-11.3847,43.2844,Foyer ADM
193,Kikwit,CD,70.3,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
194,Bratslav,UA,63.0,scattered clouds,48.8226,28.9407,Центр Брацлава
199,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
204,Vieux-Habitants,GP,74.77,clear sky,16.0589,-61.7659,Gîtes Dardanelle
205,Venice,US,84.22,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
206,Marsh Harbour,BS,80.98,few clouds,26.5412,-77.0636,Abaco Beach Resort
207,Saint Anthony,US,76.3,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
208,Mapiripan,CO,66.49,overcast clouds,2.8892,-72.1256,Monserrate
213,Salinopolis,BR,79.56,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
214,Meulaboh,ID,79.84,broken clouds,4.1363,96.1285,Kost Pria
217,Alberton,CA,60.93,moderate rain,46.8168,-64.0654,La Petite France B&B
218,Westport,US,77.38,overcast clouds,41.1415,-73.3579,The Westport Inn
219,Lake City,US,82.78,clear sky,30.1897,-82.6393,Ramada Limited Lake City
220,Ushtobe,KZ,74.8,broken clouds,45.2514,77.9838,Filipin Squad
221,Geraldton,AU,61.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
222,Sayyan,YE,64.49,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
223,Thomaston,US,89.38,clear sky,32.8882,-84.3266,Days Inn by Wyndham Thomaston
224,Ambanja,MG,68.86,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
225,Kudahuvadhoo,MV,82.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
226,La Romana,DO,80.96,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
228,Lethem,GY,74.16,overcast clouds,3.3803,-59.7968,Savannah Inn
231,Acarau,BR,76.73,few clouds,-2.8856,-40.12,castelo pizzaria
233,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Rock Sound,BS,80.78,clear sky,24.9,-76.2,Pink Corral Bay Property
235,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
236,Bosaso,SO,89.74,overcast clouds,11.2842,49.1816,Red Sea Hotel
237,Piacabucu,BR,74.71,clear sky,-10.4056,-36.4344,Piaçabuçu News
240,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Caravelas,BR,73.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
243,Tshikapa,CD,67.98,broken clouds,-6.4167,20.8,Tatem beach
244,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
245,Koroni,GR,72.07,clear sky,36.8,21.95,Apartments Xenios Zeus 1
246,Bandarbeyla,SO,80.74,broken clouds,9.4942,50.8122,JABIR HOTEL
248,Ardakan,IR,84.33,clear sky,32.31,54.0175,Ardakan Hotel
251,Barhi,IN,89.83,broken clouds,23.9,80.8,Umesh Kevat
252,Soyo,AO,72.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
254,Iralaya,HN,76.39,overcast clouds,15.0,-83.2333,Iglesia morava renovada
258,Nileshwar,IN,79.41,scattered clouds,12.25,75.1,Neeleshwar Hermitage
259,Maragogi,BR,75.18,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
260,Banyo,CM,63.68,overcast clouds,6.75,11.8167,Motel JOMBA
261,Novyy Svit,UA,62.69,clear sky,47.8059,38.0211,Энергетик
262,Syracuse,IT,69.31,clear sky,37.0881,15.2792,Hotel Posta
263,Palmas,BR,76.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
264,San Cristobal,VE,65.97,overcast clouds,7.7669,-72.225,Pirineos
265,Kachiry,KZ,61.39,heavy intensity rain,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
268,Beyneu,KZ,72.07,overcast clouds,45.3167,55.2,NUR
269,Aksu,CN,84.02,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
270,Corrente,BR,71.26,few clouds,-3.7367,-43.3394,Chapadinhense Hotel
271,Trairi,BR,76.75,clear sky,-3.2778,-39.2689,janelas do mar
