City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chapleau,CA,47.8405,-83.4034,64.49,59,40,0.0,scattered clouds
79,Ronne,DK,55.1009,14.7066,55.31,76,33,18.41,scattered clouds
80,Sur,OM,22.5667,59.5289,82.81,76,2,6.22,clear sky
81,East London,ZA,-33.0153,27.9116,75.6,35,100,10.29,overcast clouds
82,Oranjestad,AW,12.524,-70.027,82.35,78,20,19.57,few clouds
83,Hoeselt,BE,50.8478,5.4858,49.84,90,10,2.73,clear sky
84,Logansport,US,40.7545,-86.3567,80.65,68,0,4.61,clear sky
85,Kruisfontein,ZA,-34.0033,24.7314,58.68,46,98,4.18,overcast clouds
86,Inhambane,MZ,-23.865,35.3833,67.06,87,0,7.36,clear sky
87,Castro,BR,-24.7911,-50.0119,42.53,94,0,4.65,clear sky
88,Hithadhoo,MV,-0.6,73.0833,83.12,70,31,6.26,scattered clouds
89,Staryy Nadym,RU,65.6118,72.6842,51.82,69,81,18.19,broken clouds
90,Nosy Varika,MG,-20.5833,48.5333,65.66,97,100,9.53,heavy intensity rain
91,Nanortalik,GL,60.1432,-45.2371,36.79,83,26,26.11,scattered clouds
92,Torbay,CA,47.6666,-52.7314,43.29,93,75,8.05,mist
93,Willowmore,ZA,-33.2926,23.4895,51.91,56,17,14.54,few clouds
94,Marovoay,MG,-16.1,46.6333,65.71,81,5,4.65,clear sky
95,Lagoa,PT,39.05,-27.9833,62.17,78,100,6.04,overcast clouds
96,Krasnoselkup,RU,65.7,82.4667,66.94,70,100,4.65,overcast clouds
97,Hambantota,LK,6.1241,81.1185,80.94,83,20,8.05,few clouds
98,Saldanha,ZA,-33.0117,17.9442,57.34,77,57,21.47,moderate rain
99,Codrington,AU,-38.2667,141.9667,54.97,62,72,18.12,broken clouds
100,Umm Kaddadah,SD,13.6017,26.6876,81.66,50,100,11.41,overcast clouds
101,Saurimo,AO,-9.6608,20.3916,56.57,55,1,3.02,clear sky
102,Garowe,SO,8.4054,48.4845,76.41,60,100,23.17,overcast clouds
103,Richards Bay,ZA,-28.783,32.0377,60.08,46,16,9.8,few clouds
104,Rio Gallegos,AR,-51.6226,-69.2181,42.85,87,75,5.75,broken clouds
105,General Roca,AR,-39.0333,-67.5833,51.3,29,100,7.18,overcast clouds
106,Lyman,UA,48.9884,37.8023,65.3,84,89,3.15,overcast clouds
107,Grand-Santi,GF,4.25,-54.3833,72.52,99,100,3.09,overcast clouds
108,Anloga,GH,5.7947,0.8973,80.24,79,87,14.88,overcast clouds
109,Farafangana,MG,-22.8167,47.8333,66.63,78,96,3.51,light rain
110,Tonekabon,IR,36.8163,50.8738,73.35,66,0,6.73,clear sky
111,Lautaro,CL,-38.5167,-72.45,44.58,92,100,4.94,overcast clouds
112,Muros,ES,42.7762,-9.0603,69.1,85,6,3.47,clear sky
113,Sabha,LY,27.0377,14.4283,75.51,28,18,9.6,few clouds
114,Buraydah,SA,26.326,43.975,82.85,13,0,7.83,clear sky
115,Abeche,TD,13.8292,20.8324,82.35,47,100,6.62,light rain
116,Barcelos,PT,41.5388,-8.6151,66.34,84,90,2.75,overcast clouds
117,Opuwo,NA,-18.0607,13.84,51.62,53,0,4.12,clear sky
118,Bella Union,UY,-30.2752,-57.6007,46.08,89,0,8.9,clear sky
119,Oriximina,BR,-1.7656,-55.8661,73.04,96,8,1.86,clear sky
120,Raga,SS,8.4596,25.678,68.97,93,83,2.51,broken clouds
121,Manavgat,TR,36.7867,31.4431,72.95,77,97,2.42,overcast clouds
122,Brae,GB,60.3964,-1.353,50.25,93,100,12.95,overcast clouds
123,Paranaiba,BR,-19.6772,-51.1908,55.76,50,29,4.12,scattered clouds
124,Pangnirtung,CA,66.1451,-65.7125,26.38,92,15,3.89,few clouds
125,Penzance,GB,50.1186,-5.5371,53.71,71,20,6.51,few clouds
126,Hobyo,SO,5.3505,48.5268,78.3,75,8,24.49,clear sky
127,Touros,BR,-5.1989,-35.4608,75.78,77,2,9.4,clear sky
128,Araouane,ML,18.9048,-3.5265,92.8,25,6,8.3,clear sky
129,Sao Filipe,CV,14.8961,-24.4956,73.56,76,43,5.53,scattered clouds
130,Tiznit,MA,29.5833,-9.5,79.48,48,100,4.45,overcast clouds
131,Henderson,US,36.0397,-114.9819,97.14,9,0,20.71,clear sky
132,Bani,DO,18.2833,-70.3333,76.44,75,19,11.88,few clouds
133,Afonso Bezerra,BR,-5.4983,-36.5056,72.91,86,6,12.35,clear sky
134,Moyale,KE,3.5167,39.0584,62.49,80,93,4.54,overcast clouds
135,Harper,LR,4.375,-7.7169,76.75,75,0,5.84,clear sky
136,Odoyev,RU,53.9393,36.6864,56.35,87,36,1.57,scattered clouds
137,Narsaq,GL,60.9167,-46.05,41.43,49,2,3.56,clear sky
138,Zhezkazgan,KZ,47.8043,67.7144,64.38,34,20,2.24,few clouds
139,Carbonia,IT,39.1672,8.5222,69.01,53,0,5.3,clear sky
140,Lebu,CL,-37.6167,-73.65,50.05,93,100,13.0,overcast clouds
141,Santo Antonio Do Ica,BR,-3.1022,-67.9397,69.84,99,100,1.16,overcast clouds
142,Bubaque,GW,11.2833,-15.8333,79.11,84,87,8.79,light rain
143,Iquique,CL,-20.2208,-70.1431,60.84,81,35,5.57,scattered clouds
144,Bom Jesus,BR,-9.0744,-44.3586,71.02,80,29,1.99,scattered clouds
145,Necochea,AR,-38.5473,-58.7368,52.45,58,99,14.25,overcast clouds
146,Gat,IL,31.61,34.7642,69.4,81,4,3.42,clear sky
147,Jalu,LY,29.0331,21.5482,72.14,59,0,8.84,clear sky
148,Margate,GB,51.3813,1.3862,53.69,79,7,1.01,clear sky
149,Salinas,US,36.6777,-121.6555,76.48,50,0,13.8,clear sky
150,Kajaani,FI,64.2273,27.7285,48.25,100,0,3.44,clear sky
151,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,92,100,8.32,overcast clouds
152,Saint-Pierre,RE,-21.3393,55.4781,71.91,82,0,8.05,clear sky
153,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,50,0,3.44,clear sky
154,Faya,SA,18.3851,42.4509,73.51,26,0,11.68,clear sky
155,Agirish,RU,61.9247,63.0231,53.96,54,7,8.3,clear sky
156,Sorland,NO,67.667,12.6934,48.99,96,100,13.47,light rain
157,Komatipoort,ZA,-25.4332,31.9548,55.27,48,5,4.79,clear sky
158,Cheremukhovo,RU,60.3484,59.9851,54.59,60,89,1.68,overcast clouds
159,Bage,BR,-31.3314,-54.1069,47.98,87,0,5.75,clear sky
160,Kaliganj,BD,23.4095,89.1402,88.93,65,70,16.44,broken clouds
161,Arlit,NE,18.7369,7.3853,92.53,12,80,7.7,broken clouds
162,Klaksvik,FO,62.2266,-6.589,50.92,96,98,17.16,overcast clouds
163,Puerto Leguizamo,CO,-0.1934,-74.7819,66.63,98,99,1.54,overcast clouds
164,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.95,75,100,17.31,overcast clouds
165,Thunder Bay,CA,48.4001,-89.3168,51.78,93,100,9.22,overcast clouds
166,Cozumel,MX,20.5083,-86.9458,78.01,89,100,4.0,overcast clouds
167,Urumqi,CN,43.801,87.6005,79.75,36,0,13.42,clear sky
168,Assen,NL,52.9967,6.5625,50.85,74,40,3.44,scattered clouds
169,Upernavik,GL,72.7868,-56.1549,30.7,85,82,5.73,broken clouds
